onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
307.762	0.437	308.199	4.436032193331146	draw_card	0.437	columbia_card_task_fmri	17.0	0.8571428571428572	89.0	-75.0	0.1428571428571428	15.0	2.0	2.0	-0.4977443278867426	0.437	n/a	stim	poldrack-single-stim	s624	False	1
308.203	1.404	309.607	3.425043182342133	draw_card	1.404	columbia_card_task_fmri	17.0	0.8461538461538461	89.0	-75.0	0.1538461538461538	15.0	3.0	2.0	0.5025166145009266	1.404	n/a	stim	poldrack-single-stim	s624	False	1
309.61	0.933	310.543	2.2455560028549546	end_round	0.933	columbia_card_task_fmri	17.0	0.8333333333333334	71.0	-75.0	0.1666666666666666	15.0	4.0	2.0	1.5950199056987913	0.933	3.0	stim	poldrack-single-stim	s624	False	1
311.297	1.5	310.546	n/a	-1.0	2.59	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
313.141	1.686	314.827	0.8913893361882868	draw_card	1.686	columbia_card_task_fmri	2.0	0.9375	89.0	-25.0	0.0625	16.0	1.0	1.0	-26.13499579472768	1.686	n/a	stim	poldrack-single-stim	s624	False	1
314.831	0.386	315.217	0.7788893361882867	draw_card	0.386	columbia_card_task_fmri	2.0	0.9333333333333332	89.0	-25.0	0.0666666666666666	16.0	2.0	1.0	-25.93642633169216	0.386	n/a	stim	poldrack-single-stim	s624	False	1
315.222	0.322	315.544	0.6503179076168584	draw_card	0.322	columbia_card_task_fmri	2.0	0.9285714285714286	89.0	-25.0	0.0714285714285714	16.0	3.0	1.0	-25.718624317372367	0.322	3.0	stim	poldrack-single-stim	s624	False	0
316.298	1.5	315.547	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
317.801	2.176	319.977	3.0788893361882868	draw_card	2.176	columbia_card_task_fmri	9.0	0.9375	89.0	-95.0	0.0625	16.0	1.0	1.0	-7.515195670266866	2.176	1.0	stim	poldrack-single-stim	s624	False	0
320.731	1.5	319.98	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
322.235	2.852	325.087	4.641389336188286	draw_card	2.852	columbia_card_task_fmri	11.0	0.9375	89.0	-100.0	0.0625	16.0	1.0	1.0	-5.82118503710862	2.852	n/a	stim	poldrack-single-stim	s624	False	1
325.089	0.725	325.814	4.178889336188288	draw_card	0.725	columbia_card_task_fmri	11.0	0.9333333333333332	89.0	-100.0	0.0666666666666666	16.0	2.0	1.0	-5.001926835992048	0.725	n/a	stim	poldrack-single-stim	s624	False	1
325.818	1.437	327.255	3.65031790761686	draw_card	1.437	columbia_card_task_fmri	11.0	0.9285714285714286	89.0	-100.0	0.0714285714285714	16.0	3.0	1.0	-4.103510836063709	1.437	n/a	stim	poldrack-single-stim	s624	False	1
327.26	1.121	328.381	3.0404277977267493	end_round	1.121	columbia_card_task_fmri	11.0	0.9230769230769232	71.0	-100.0	0.0769230769230769	16.0	4.0	1.0	-3.112479623774952	1.121	3.0	stim	poldrack-single-stim	s624	False	1
329.135	1.5	328.384	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
330.911	1.918	332.829	5.203889336188286	draw_card	1.918	columbia_card_task_fmri	16.0	0.875	89.0	-75.0	0.125	16.0	1.0	2.0	-2.595254215121805	1.918	n/a	stim	poldrack-single-stim	s624	False	1
332.833	0.494	333.327	4.4455560028549534	draw_card	0.494	columbia_card_task_fmri	16.0	0.8666666666666667	89.0	-75.0	0.1333333333333333	16.0	2.0	2.0	-1.7567745585347936	0.494	n/a	stim	poldrack-single-stim	s624	False	1
333.331	1.14	334.471	3.5788893361882885	draw_card	1.14	columbia_card_task_fmri	16.0	0.8571428571428572	89.0	-75.0	0.1428571428571428	16.0	3.0	2.0	-0.8476142535137221	1.14	n/a	stim	poldrack-single-stim	s624	False	1
334.475	0.789	335.264	2.5788893361882868	draw_card	0.789	columbia_card_task_fmri	16.0	0.8461538461538461	89.0	-75.0	0.1538461538461538	16.0	4.0	2.0	0.1417708601490233	0.789	4.0	stim	poldrack-single-stim	s624	False	0
336.017	1.5	335.266	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
337.725	1.439	339.164	5.453889336188286	draw_card	1.439	columbia_card_task_fmri	17.0	0.875	89.0	-80.0	0.125	16.0	1.0	2.0	-0.6112850238770733	1.439	n/a	stim	poldrack-single-stim	s624	False	1
339.168	0.525	339.693	4.6455560028549545	draw_card	0.525	columbia_card_task_fmri	17.0	0.8666666666666667	89.0	-80.0	0.1333333333333333	16.0	2.0	2.0	0.2824982840309786	0.525	n/a	stim	poldrack-single-stim	s624	False	1
339.697	0.437	340.134	3.7217464790454327	draw_card	0.437	columbia_card_task_fmri	17.0	0.8571428571428572	89.0	-80.0	0.1428571428571428	16.0	3.0	2.0	1.251622980922768	0.437	n/a	stim	poldrack-single-stim	s624	False	1
340.138	0.878	341.016	2.6558124131113634	draw_card	0.878	columbia_card_task_fmri	17.0	0.8461538461538461	89.0	-80.0	0.1538461538461538	16.0	4.0	2.0	2.306262534541652	0.878	n/a	stim	poldrack-single-stim	s624	False	1
341.021	0.651	341.672	1.4122226695216225	draw_card	0.651	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-80.0	0.1666666666666666	16.0	5.0	2.0	3.458158032482494	0.651	n/a	stim	poldrack-single-stim	s624	False	1
341.676	1.308	342.984	-0.0574743001753517	end_round	1.308	columbia_card_task_fmri	17.0	0.8181818181818181	71.0	-80.0	0.1818181818181818	16.0	6.0	2.0	4.720612967163589	1.308	5.0	stim	poldrack-single-stim	s624	False	1
343.738	1.5	342.987	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
356.242	2.74	358.982	-0.2544439971450454	draw_card	2.74	columbia_card_task_fmri	13.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.7585522743142938	2.74	n/a	stim	poldrack-single-stim	s624	False	1
358.987	1.228	360.215	-3.021110663811713	draw_card	1.228	columbia_card_task_fmri	13.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.5088041275414241	1.228	n/a	stim	poldrack-single-stim	s624	False	1
360.218	0.86	361.078	-7.171110663811714	end_round	0.86	columbia_card_task_fmri	13.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	3.2484736938002	0.86	2.0	stim	poldrack-single-stim	s624	False	1
361.834	1.5	361.083	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
363.541	2.302	365.843	-0.2544439971450454	draw_card	2.302	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-80.0	0.1666666666666666	6.0	1.0	1.0	2.712899601089724	2.302	n/a	stim	poldrack-single-stim	s624	False	1
